TIME,SRC_IP,DST_IP,PROTOCOL,L7_PROTO,L4_SRC_PORT,L4_DST_PORT,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DIRECTION,MALICIOUS_PROB,ALERT
2025-09-26T10:37:19.325746,3.233.158.24,10.235.177.198,TCP,HTTPS,443,51651,140,2,0,0,ACK,8151.854038238525,incoming,0.9416666666666667,True
2025-09-26T10:37:37.549444,10.235.177.30,10.235.177.198,UDP,DNS,53,58943,640,3,0,0,OTHER,19015.25592803955,incoming,0.93,True
2025-09-26T10:37:51.700374,10.235.177.198,10.235.177.30,UDP,DNS,58943,53,0,0,77,1,OTHER,14189.382791519165,outgoing,0.97,True
2025-09-26T10:37:51.721143,10.235.177.30,10.235.177.198,UDP,DNS,53,56647,689,3,0,0,OTHER,33167.10090637207,incoming,0.9133333333333333,True
2025-09-26T10:38:03.811745,10.235.177.198,10.235.177.30,UDP,DNS,56647,53,0,0,101,1,OTHER,12111.61494255066,outgoing,0.97,True
2025-09-26T10:38:03.811905,10.235.177.198,10.235.177.30,UDP,DNS,58943,53,0,0,101,1,OTHER,12111.531019210815,outgoing,0.97,True
2025-09-26T10:38:37.542328,10.235.177.198,10.235.177.30,UDP,DNS,54067,53,0,0,154,2,OTHER,24820.512771606445,outgoing,0.8966666666666666,True
2025-09-26T10:38:37.567045,10.235.177.30,10.235.177.198,UDP,DNS,53,54067,365,2,0,0,OTHER,24804.0030002594,incoming,0.9316666666666666,True
2025-09-26T10:38:44.870068,10.235.177.198,10.235.177.30,UDP,DNS,54067,53,0,0,98,1,OTHER,7327.74019241333,outgoing,0.97,True
2025-09-26T10:38:45.112126,10.235.177.30,10.235.177.198,UDP,DNS,53,53040,651,2,0,0,OTHER,32340.359210968018,incoming,0.9133333333333333,True
2025-09-26T10:39:09.882316,10.235.177.30,10.235.177.198,UDP,DNS,53,52047,591,2,0,0,OTHER,16466.36199951172,incoming,0.935,True
2025-09-26T10:39:09.911622,10.235.177.30,10.235.177.198,UDP,DNS,53,63865,615,2,0,0,OTHER,16491.273164749146,incoming,0.9383333333333334,True
2025-09-26T10:39:25.061222,10.235.177.30,10.235.177.198,UDP,DNS,53,61106,427,2,0,0,OTHER,13220.20411491394,incoming,0.9383333333333334,True
2025-09-26T10:39:25.065062,10.235.177.30,10.235.177.198,UDP,DNS,53,60703,674,2,0,0,OTHER,13210.638046264648,incoming,0.9383333333333334,True
2025-09-26T10:39:25.414734,20.250.119.64,10.235.177.198,TCP,HTTPS,443,53289,54,1,0,0,ACK,12661.528825759888,incoming,0.9183333333333333,True
2025-09-26T10:39:27.525896,10.235.177.198,10.235.177.30,UDP,DNS,61106,53,0,0,92,1,OTHER,2487.442970275879,outgoing,0.97,True
2025-09-26T10:39:27.526127,10.235.177.198,10.235.177.30,UDP,DNS,60703,53,0,0,92,1,OTHER,2487.4660968780518,outgoing,0.97,True
2025-09-26T10:39:32.652623,10.235.177.198,10.235.177.30,UDP,DNS,60703,53,0,0,85,1,OTHER,5126.495838165283,outgoing,0.97,True
2025-09-26T10:39:32.652833,10.235.177.198,10.235.177.30,UDP,DNS,61106,53,0,0,85,1,OTHER,5126.936912536621,outgoing,0.97,True
2025-09-26T10:39:36.238618,10.235.177.198,10.235.177.30,UDP,DNS,60703,53,0,0,92,1,OTHER,3585.9949588775635,outgoing,0.97,True
2025-09-26T10:45:59.383940,10.235.177.30,10.235.177.198,UDP,DNS,53,59811,647,2,0,0,OTHER,13111.001014709473,incoming,0.9383333333333334,True
2025-09-26T10:45:59.401309,10.235.177.30,10.235.177.198,UDP,DNS,53,65523,448,2,0,0,OTHER,13120.239973068237,incoming,0.94,True
2025-09-26T10:46:15.353824,10.235.177.30,10.235.177.198,UDP,DNS,53,64519,288,2,0,0,OTHER,11664.500951766968,incoming,0.9366666666666666,True
2025-09-26T10:46:15.354532,10.235.177.30,10.235.177.198,UDP,DNS,53,56060,300,2,0,0,OTHER,11658.459901809692,incoming,0.9316666666666666,True
2025-09-26T10:46:23.244845,88.198.51.158,10.235.177.198,TCP,HTTPS,443,33732,210,3,0,0,ACK,7119.333028793335,incoming,0.9316666666666666,True
2025-09-26T10:46:23.815474,10.235.177.30,10.235.177.198,UDP,DNS,53,49627,249,2,0,0,OTHER,10837.760925292969,incoming,0.93,True
2025-09-26T10:46:24.434679,140.82.114.21,10.235.177.198,TCP,HTTPS,443,61219,140,2,0,0,ACK,7202.656030654907,incoming,0.9433333333333334,True
2025-09-26T10:46:26.151787,119.8.187.97,10.235.177.198,TCP,HTTPS,443,18639,913,2,0,0,FIN,8943.026065826416,incoming,0.98,True
2025-09-26T10:46:29.009213,162.19.138.119,10.235.177.198,TCP,HTTPS,443,53810,210,3,0,0,ACK,6108.411073684692,incoming,0.8516666666666667,True
2025-09-26T10:46:29.066937,10.235.177.30,10.235.177.198,UDP,DNS,53,64357,251,2,0,0,OTHER,14025.00295639038,incoming,0.935,True
2025-09-26T10:46:29.137837,144.76.158.81,10.235.177.198,TCP,HTTPS,443,51311,210,3,0,0,ACK,6079.042911529541,incoming,0.8516666666666667,True
2025-09-26T10:46:29.231633,162.19.138.119,10.235.177.198,TCP,HTTPS,443,64250,210,3,0,0,ACK,6109.8668575286865,incoming,0.8566666666666667,True
2025-09-26T10:46:29.405706,144.76.158.81,10.235.177.198,TCP,HTTPS,443,5620,210,3,0,0,ACK,6077.733039855957,incoming,0.8866666666666667,True
2025-09-26T10:46:29.443760,162.19.138.120,10.235.177.198,TCP,HTTPS,443,17255,210,3,0,0,ACK,6073.6939907073975,incoming,0.8766666666666667,True
2025-09-26T10:46:29.547389,162.19.138.82,10.235.177.198,TCP,HTTPS,443,51801,210,3,0,0,ACK,6244.8320388793945,incoming,0.8516666666666667,True
2025-09-26T10:46:46.565684,10.235.177.30,10.235.177.198,UDP,DNS,53,64080,453,2,0,0,OTHER,8947.736978530884,incoming,0.94,True
2025-09-26T10:46:48.759252,10.235.177.30,10.235.177.198,UDP,DNS,53,55860,359,2,0,0,OTHER,22757.27605819702,incoming,0.9316666666666666,True
2025-09-26T13:14:49.106734,10.235.177.30,10.235.177.198,UDP,DNS,53,54996,306,2,0,0,OTHER,33946.792125701904,incoming,0.9133333333333333,True
2025-09-26T13:14:49.182364,10.235.177.30,10.235.177.198,UDP,DNS,53,50553,589,2,0,0,OTHER,34012.90488243103,incoming,0.915,True
2025-09-26T13:14:49.238752,10.235.177.30,10.235.177.198,UDP,DNS,53,52620,639,2,0,0,OTHER,12997.978925704956,incoming,0.935,True
2025-09-26T13:14:58.279817,10.235.177.198,10.235.177.30,UDP,DNS,54996,53,0,0,92,1,OTHER,9176.278114318848,outgoing,0.97,True
