TIME,SRC_IP,DST_IP,PROTOCOL,L7_PROTO,L4_SRC_PORT,L4_DST_PORT,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DIRECTION
2025-09-26T10:37:07.138260,3.233.158.24,10.235.177.198,TCP,HTTPS,443,51651,210,3,0,0,ACK,3045.130968093872,incoming
2025-09-26T10:37:19.325746,3.233.158.24,10.235.177.198,TCP,HTTPS,443,51651,140,2,0,0,ACK,8151.854038238525,incoming
2025-09-26T10:37:34.959311,140.82.114.22,10.235.177.198,TCP,HTTPS,443,51723,210,3,0,0,ACK,3049.1039752960205,incoming
2025-09-26T10:37:37.510991,10.235.177.198,10.235.177.30,UDP,DNS,58943,53,0,0,240,3,OTHER,19005.60212135315,outgoing
2025-09-26T10:37:37.549444,10.235.177.30,10.235.177.198,UDP,DNS,53,58943,640,3,0,0,OTHER,19015.25592803955,incoming
2025-09-26T10:37:38.964513,10.235.177.198,13.107.13.93,TCP,HTTPS,17595,443,0,0,1972,9,FIN,4413.898944854736,outgoing
2025-09-26T10:37:39.054874,140.82.114.22,10.235.177.198,TCP,HTTPS,443,51723,70,1,0,0,ACK,4095.5629348754883,incoming
2025-09-26T10:37:39.061021,13.107.13.93,10.235.177.198,TCP,HTTPS,443,17595,6635,12,0,0,ACK,4420.927047729492,incoming
2025-09-26T10:37:47.051496,3.233.158.24,10.235.177.198,TCP,HTTPS,443,11995,210,3,0,0,ACK,3065.685987472534,incoming
2025-09-26T10:37:47.334095,3.233.158.24,10.235.177.198,TCP,HTTPS,443,7425,210,3,0,0,ACK,3082.159996032715,incoming
2025-09-26T10:37:48.207375,10.235.177.198,13.107.13.93,TCP,HTTPS,11997,443,0,0,1974,9,FIN,4422.603130340576,outgoing
2025-09-26T10:37:48.294713,13.107.13.93,10.235.177.198,TCP,HTTPS,443,11997,7171,14,0,0,ACK,4419.155120849609,incoming
2025-09-26T10:37:51.087124,3.233.158.24,10.235.177.198,TCP,HTTPS,443,11995,70,1,0,0,ACK,4035.628080368042,incoming
2025-09-26T10:37:51.372521,3.233.158.24,10.235.177.198,TCP,HTTPS,443,7425,70,1,0,0,ACK,4038.425922393799,incoming
2025-09-26T10:37:51.700130,10.235.177.198,10.235.177.30,UDP,DNS,56647,53,0,0,243,3,OTHER,33193.86386871338,outgoing
2025-09-26T10:37:51.700374,10.235.177.198,10.235.177.30,UDP,DNS,58943,53,0,0,77,1,OTHER,14189.382791519165,outgoing
2025-09-26T10:37:51.721143,10.235.177.30,10.235.177.198,UDP,DNS,53,56647,689,3,0,0,OTHER,33167.10090637207,incoming
2025-09-26T10:37:51.731824,10.235.177.30,10.235.177.198,UDP,DNS,53,58943,210,1,0,0,OTHER,14182.379961013794,incoming
